Activo,Modelo,Nivel,Violaciones,p_value
bitcoin,GARCH,1%,3,0.683051884374668
bitcoin,FIGARCH,1%,4,0.902013786526788
bitcoin,GARCH,5%,14,0.235085021699907
bitcoin,FIGARCH,5%,14,0.235085021699907
sp500,GARCH,1%,9,0.307692652443774
sp500,FIGARCH,1%,8,0.510819706529521
sp500,GARCH,5%,32,0.920069926739204
sp500,FIGARCH,5%,28,0.520455724501521
ibex35,GARCH,1%,4,0.312765226708332
ibex35,FIGARCH,1%,5,0.573397519278587
ibex35,GARCH,5%,28,0.480737523858999
ibex35,FIGARCH,5%,28,0.480737523858999
oro,GARCH,1%,,
oro,FIGARCH,1%,,
oro,GARCH,5%,,
oro,FIGARCH,5%,,
tesla,GARCH,1%,7,0.0493806880399219
tesla,FIGARCH,1%,6,0.128723382649546
tesla,GARCH,5%,12,0.396648950532926
tesla,FIGARCH,5%,12,0.396648950532926
bovespa,GARCH,1%,2,0.0485908594308276
bovespa,FIGARCH,1%,0,0.000419715050116176
bovespa,GARCH,5%,14,0.000485356295821027
bovespa,FIGARCH,5%,20,0.0312893713799812
